"Periode","Rate"
"01/01/2009","8.75"
"01/02/2009","8.25"
"01/03/2009","7.75"
"01/04/2009","7.50"
"01/05/2009","7.25"
"01/06/2009","7.00"
"01/07/2009","6.75"
"01/08/2009","6.50"
"01/09/2009","6.50"
"01/10/2009","6.50"
"01/11/2009","6.50"
"01/12/2009","6.50"
"01/01/2010","6.50"
"01/02/2010","6.50"
"01/03/2010","6.50"
"01/04/2010","6.50"
"01/05/2010","6.50"
"01/06/2010","6.50"
"01/07/2010","6.50"
"01/08/2010","6.50"
"01/09/2010","6.50"
"01/10/2010","6.50"
"01/11/2010","6.50"
"01/12/2010","6.50"
"01/01/2011","6.50"
"01/02/2011","6.75"
"01/03/2011","6.75"
"01/04/2011","6.75"
"01/05/2011","6.75"
"01/06/2011","6.75"
"01/07/2011","6.75"
"01/08/2011","6.75"
"01/09/2011","6.75"
"01/10/2011","6.50"
"01/11/2011","6.00"
"01/12/2011","6.00"
"01/01/2012","6.00"
"01/02/2012","5.75"
"01/03/2012","5.75"
"01/04/2012","5.75"
"01/05/2012","5.75"
"01/06/2012","5.75"
"01/07/2012","5.75"
"01/08/2012","5.75"
"01/09/2012","5.75"
"01/10/2012","5.75"
"01/11/2012","5.75"
"01/12/2012","5.75"
"01/01/2013","5.75"
"01/02/2013","5.75"
"01/03/2013","5.75"
"01/04/2013","5.75"
"01/05/2013","5.75"
"01/06/2013","6.00"
"01/07/2013","6.50"
"01/08/2013","7.00"
"01/09/2013","7.25"
"01/10/2013","7.25"
"01/11/2013","7.50"
"01/12/2013","7.50"
"01/01/2014","7.50"
"01/02/2014","7.50"
"01/03/2014","7.50"
"01/04/2014","7.50"
"01/05/2014","7.50"
"01/06/2014","7.50"
"01/07/2014","7.50"
"01/08/2014","7.50"
"01/09/2014","7.50"
"01/10/2014","7.50"
"01/11/2014","7.75"
"01/12/2014","7.75"
"01/01/2015","7.75"
"01/02/2015","7.50"
"01/03/2015","7.50"
"01/04/2015","7.50"
"01/05/2015","7.50"
"01/06/2015","7.50"
"01/07/2015","7.50"
"01/08/2015","7.50"
"01/09/2015","7.50"
"01/10/2015","7.50"
"01/11/2015","7.50"
"01/12/2015","7.50"
"01/01/2016","7.25"
"01/02/2016","7.00"
"01/03/2016","6.75"
"01/04/2016","6.75"
"01/05/2016","6.75"
"01/06/2016","6.50"
"01/07/2016","6.50"
"01/08/2016","5.25"
"01/09/2016","5.00"
"01/10/2016","4.75"
"01/11/2016","4.75"
"01/12/2016","4.75"
"01/01/2017","4.75"
"01/02/2017","4.75"
"01/03/2017","4.75"
"01/04/2017","4.75"
"01/05/2017","4.75"
"01/06/2017","4.75"
"01/07/2017","4.75"
"01/08/2017","4.50"
"01/09/2017","4.25"
"01/10/2017","4.25"
"01/11/2017","4.25"
"01/12/2017","4.25"
"01/01/2018","4.25"
"01/02/2018","4.25"
"01/03/2018","4.25"
"01/04/2018","4.25"
"01/05/2018","4.75"
"01/06/2018","5.25"
"01/07/2018","5.25"
"01/08/2018","5.50"
"01/09/2018","5.75"
"01/10/2018","5.75"
"01/11/2018","6.00"
"01/12/2018","6.00"
"01/01/2019","6.00"
"01/02/2019","6.00"
"01/03/2019","6.00"
"01/04/2019","6.00"
"01/05/2019","6.00"
"01/06/2019","6.00"
"01/07/2019","5.75"
"01/08/2019","5.50"
"01/09/2019","5.25"
"01/10/2019","5.00"
"01/11/2019","5.00"
"01/12/2019","5.00"
"01/01/2020","5.00"
"01/02/2020","4.75"
"01/03/2020","4.50"
"01/04/2020","4.50"
"01/05/2020","4.50"
"01/06/2020","4.25"
"01/07/2020","4.00"
"01/08/2020","4.00"
"01/09/2020","4.00"
"01/10/2020","4.00"
"01/11/2020","3.75"
"01/12/2020","3.75"
"01/01/2021","3.75"
"01/02/2021","3.50"
"01/03/2021","3.50"
"01/04/2021","3.50"
"01/05/2021","3.50"
"01/06/2021","3.50"
"01/07/2021","3.50"
"01/08/2021","3.50"
"01/09/2021","3.50"
"01/10/2021","3.50"
"01/11/2021","3.50"
"01/12/2021","3.50"
"01/01/2022","3.50"
"01/02/2022","3.50"
"01/03/2022","3.50"
"01/04/2022","3.50"
"01/05/2022","3.50"
"01/06/2022","3.50"
"01/07/2022","3.50"
"01/08/2022","3.75"
"01/09/2022","4.25"
"01/10/2022","4.75"
"01/11/2022","5.25"
