"No","Periode","Inflasi"
"1","01/12/2002","0.00"
"2","01/01/2003","8.68 "
"3","01/02/2003","7.6"
"4","01/03/2003","7.17 "
"5","01/04/2003","7.62 "
"6","01/05/2003","7.15 "
"7","01/06/2003","6.98 "
"8","01/07/2003","6.27 "
"9","01/08/2003","6.51 "
"10","01/09/2003","6.33 "
"11","01/10/2003","6.48 "
"12","01/11/2003","5.53 "
"13","01/12/2003","5.16 "
"14","01/01/2004","4.82 "
"15","01/02/2004","4.6"
"16","01/03/2004","5.11"
"17","01/04/2004","5.92 "
"18","01/05/2004","6.47 "
"19","01/06/2004","6.83 "
"20","01/07/2004","7.2"
"21","01/08/2004","6.67 "
"22","01/09/2004","6.27 "
"23","01/10/2004","6.22 "
"24","01/11/2004","6.18 "
"25","01/12/2004","6.4"
"26","01/01/2005","7.32 "
"27","01/02/2005","7.15 "
"28","01/03/2005","8.81 "
"29","01/04/2005","8.12"
"30","01/05/2005","7.4"
"31","01/06/2005","7.42 "
"32","01/07/2005","7.84 "
"33","01/08/2005","8.33 "
"34","01/09/2005","9.06"
"35","01/10/2005","17.89 "
"36","01/11/2005","18.38 "
"37","01/12/2005","17.11"
"38","01/01/2006","17.03"
"39","01/02/2006","17.92 "
"40","01/03/2006","15.74 "
"41","01/04/2006","15.4"
"42","01/05/2006","15.6"
"43","01/06/2006","15.53 "
"44","01/07/2006","15.15 "
"45","01/08/2006","14.9"
"46","01/09/2006","14.55 "
"47","01/10/2006","6.29 "
"48","01/11/2006","5.27 "
"49","01/12/2006","6.6"
"50","01/01/2007","6.26 "
"51","01/02/2007","6.3"
"52","01/03/2007","6.52 "
"53","01/04/2007","6.29 "
"54","01/05/2007","6.01"
"55","01/06/2007","5.77 "
"56","01/07/2007","06.06"
"57","01/08/2007","6.51 "
"58","01/09/2007","6.95 "
"59","01/10/2007","6.88 "
"60","01/11/2007","6.71 "
"61","01/12/2007","6.59 "
"62","01/01/2008","7.36 "
"63","01/02/2008","7.4"
"64","01/03/2008","8.17 "
"65","01/04/2008","8.96 "
"66","01/05/2008","10.38 "
"67","01/06/2008","11.03"
"68","01/07/2008","11.9"
"69","01/08/2008","11.85 "
"70","01/09/2008","12.14 "
"71","01/10/2008","11.77 "
"72","01/11/2008","11.68 "
"73","01/12/2008","11.06"
"74","01/01/2009","9.17 "
"75","01/02/2009","8.6"
"76","01/03/2009","7.92 "
"77","01/04/2009","7.31 "
"78","01/05/2009","6.04"
"79","01/06/2009","3.65 "
"80","01/07/2009","2.71 "
"81","01/08/2009","2.75 "
"82","01/09/2009","2.83 "
"83","01/10/2009","2.57 "
"84","01/11/2009","2.41 "
"85","01/12/2009","2.78 "
"86","01/01/2010","3.72 "
"87","01/02/2010","3.81 "
"88","01/03/2010","3.43 "
"89","01/04/2010","3.91 "
"90","01/05/2010","4.16 "
"91","01/06/2010","5.05"
"92","01/07/2010","6.22 "
"93","01/08/2010","6.44 "
"94","01/09/2010","5.8"
"95","01/10/2010","5.67 "
"96","01/11/2010","6.33 "
"97","01/12/2010","6.96 "
"98","01/01/2011","7.02"
"99","01/02/2011","6.84 "
"100","01/03/2011","6.65 "
"101","01/04/2011","6.16 "
"102","01/05/2011","5.98 "
"103","01/06/2011","5.54 "
"104","01/07/2011","4.61 "
"105","01/08/2011","4.79 "
"106","01/09/2011","4.61 "
"107","01/10/2011","4.42 "
"108","01/11/2011","4.15 "
"109","01/12/2011","3.79 "
"110","01/01/2012","3.65 "
"111","01/02/2012","3.56 "
"112","01/03/2012","3.97 "
"113","01/04/2012","4.5"
"114","01/05/2012","4.45 "
"115","01/06/2012","4.53 "
"116","01/07/2012","4.56 "
"117","01/08/2012","4.58 "
"118","01/09/2012","4.31 "
"119","01/10/2012","4.61 "
"120","01/11/2012","4.32 "
"121","01/12/2012","4.3"
"122","01/01/2013","4.57 "
"123","01/02/2013","5.31 "
"124","01/03/2013","5.9"
