Periode,Inflasi
01/01/2012,0.76
01/02/2012,0.05
01/03/2012,0.07
01/04/2012,0.21
01/05/2012,0.07
01/06/2012,0.62
01/07/2012,0.70
01/08/2012,0.95
01/09/2012,0.01
01/10/2012,0.16
01/11/2012,0.07
01/12/2012,0.54
01/01/2013,1.03
01/02/2013,0.75
01/03/2013,0.63
01/04/2013,-0.10
01/05/2013,-0.03
01/06/2013,1.03
01/07/2013,3.29
01/08/2013,1.12
01/09/2013,-0.35
01/10/2013,0.09
01/11/2013,0.12
01/12/2013,0.55
01/01/2014,1.07
01/02/2014,0.26
01/03/2014,0.08
01/04/2014,-0.02
01/05/2014,0.16
01/06/2014,0.43
01/07/2014,0.93
01/08/2014,0.47
01/09/2014,0.27
01/10/2014,0.47
01/11/2014,1.50
01/12/2014,2.46
01/01/2015,-0.24
01/02/2015,-0.36
01/03/2015,0.17
01/04/2015,0.36
01/05/2015,0.50
01/06/2015,0.54
01/07/2015,0.93
01/08/2015,0.39
01/09/2015,-0.05
01/10/2015,-0.08
01/11/2015,0.21
01/12/2015,0.96
01/01/2016,0.51
01/02/2016,-0.09
01/03/2016,0.19
01/04/2016,-0.45
01/05/2016,0.24
01/06/2016,0.66
01/07/2016,0.69
01/08/2016,-0.02
01/09/2016,0.22
01/10/2016,0.14
01/11/2016,0.47
01/12/2016,0.42
01/01/2017,0.97
01/02/2017,0.23
01/03/2017,-0.02
01/04/2017,0.09
01/05/2017,0.39
01/06/2017,0.69
01/07/2017,0.22
01/08/2017,-0.07
01/09/2017,0.13
01/10/2017,0.01
01/11/2017,0.20
01/12/2017,0.71
01/01/2018,0.62
01/02/2018,0.17
01/03/2018,0.20
01/04/2018,0.10
01/05/2018,0.21
01/06/2018,0.59
01/07/2018,0.28
01/08/2018,-0.05
01/09/2018,-0.18
01/10/2018,0.28
01/11/2018,0.27
01/12/2018,0.62
01/01/2019,0.32
01/02/2019,-0.08
01/03/2019,0.11
01/04/2019,0.44
01/05/2019,0.68
01/06/2019,0.55
01/07/2019,0.31
01/08/2019,0.12
01/09/2019,-0.27
01/10/2019,0.02
01/11/2019,0.14
01/12/2019,0.34
01/01/2020,0.39
01/02/2020,0.28
01/03/2020,0.1
01/04/2020,0.08
01/05/2020,0.07
01/06/2020,0.18
01/07/2020,0.04
01/08/2020,0.05
01/09/2020,0.05
01/10/2020,0.07
01/11/2020,0.28
01/12/2020,0.45
01/01/2021,0.26
01/02/2021,0.1
01/03/2021,0.08
01/04/2021,0.13
01/05/2021,0.32
01/06/2021,0.16
01/07/2021,0.08
01/08/2021,0.03
01/09/2021,0.04
01/10/2021,0.12
01/11/2021,0.37
01/12/2021,0.57
01/01/2022,0.56
01/02/2022,0.54
01/03/2022,0.66
01/04/2022,0.95
01/05/2022,0.4
01/06/2022,0.61
01/07/2022,0.64
01/08/2022,0.21
01/09/2022,1.17
01/10/2022,0.11
01/11/2022,0.09
